Round,Turnout Percent,Total Votes,Republican Votes,Republican Electoral Votes,Republican Vote Percent,Democrat Votes,Democrat Electoral Votes,Democrat Vote Percent,Independent Votes,Independent Electoral Votes,Independent Vote Percent
1,0.6531,117253609,53046285,166,0.4524,63673874,372,0.5430,533450,0,0.0045
2,0.7305,131161961,64912948,349,0.4949,58394765,189,0.4452,7854248,0,0.0599
3,0.8409,150987418,63257791,166,0.4190,77394698,372,0.5126,10334929,0,0.0684
4,0.8973,161104988,68249572,166,0.4236,87428987,372,0.5427,5426429,0,0.0337
5,0.7765,139421885,73388602,349,0.5264,65994249,189,0.4733,39034,0,0.0003
6,0.6994,125564230,65389895,358,0.5208,53970120,180,0.4298,6204215,0,0.0494
7,0.8968,161022387,79013768,262,0.4907,81991238,276,0.5092,17381,0,0.0001
8,0.6942,124648507,54172371,193,0.4346,62218299,345,0.4991,8257837,0,0.0662
9,0.8728,156697408,79057580,262,0.5045,77639828,276,0.4955,0,0,0.0000
10,0.8695,156118196,81225898,339,0.5203,74754378,199,0.4788,137920,0,0.0009
11,0.7793,139920247,52937148,107,0.3783,74901848,431,0.5353,12081251,0,0.0863
12,0.7148,128341163,62390416,262,0.4861,65950747,276,0.5139,0,0,0.0000
13,0.8244,148006640,63968125,193,0.4322,73789740,345,0.4986,10248775,0,0.0692
14,0.7055,126672049,60252971,262,0.4757,65849210,276,0.5198,569868,0,0.0045
15,0.7152,128408829,56195599,156,0.4376,72213230,382,0.5624,0,0,0.0000
16,0.7633,137062716,64394088,193,0.4698,72668628,345,0.5302,0,0,0.0000
17,0.7278,130670880,57706683,262,0.4416,57028337,276,0.4364,15935860,0,0.1220
18,0.6330,113642832,48215037,193,0.4243,57128655,345,0.5027,8299140,0,0.0730
19,0.7658,137497097,64087623,193,0.4661,73409474,345,0.5339,0,0,0.0000
20,0.6864,123243605,59499578,287,0.4828,57797556,251,0.4690,5946471,0,0.0482
21,0.7381,132504512,65513095,314,0.4944,62091149,224,0.4686,4900268,0,0.0370
22,0.6200,111326276,55552856,297,0.4990,53563784,241,0.4811,2209636,0,0.0198
23,0.8921,160167403,85524405,358,0.5340,71268274,180,0.4450,3374724,0,0.0211
24,0.8499,152600082,79199435,358,0.5190,64588441,180,0.4233,8812206,0,0.0577
25,0.7217,129585140,68611770,358,0.5295,55220849,180,0.4261,5752521,0,0.0444
26,0.8527,153088773,72817954,329,0.4757,67075722,209,0.4381,13195097,0,0.0862
27,0.7932,142402286,70181321,262,0.4928,69901104,276,0.4909,2319861,0,0.0163
28,0.7501,134680240,59495931,166,0.4418,74555504,372,0.5536,628805,0,0.0047
29,0.8661,155505610,61974567,262,0.3985,67081078,276,0.4314,26449965,0,0.1701
30,0.8143,146197090,69780614,262,0.4773,74075083,276,0.5067,2341393,0,0.0160
31,0.7576,136016613,56377978,96,0.4145,78148266,442,0.5745,1490369,0,0.0110
32,0.7892,141698156,70624602,262,0.4984,71073554,276,0.5016,0,0,0.0000
33,0.8799,157987914,93683472,425,0.5930,64288146,113,0.4069,16296,0,0.0001
34,0.7196,129206388,57167171,262,0.4424,62864296,276,0.4865,9174921,0,0.0710
35,0.7551,135577696,65157651,262,0.4806,66562143,276,0.4910,3857902,0,0.0285
36,0.6572,117982123,59166962,262,0.5015,58815161,276,0.4985,0,0,0.0000
37,0.6417,115225948,51915808,281,0.4506,50652241,257,0.4396,12657899,0,0.1099
38,0.6489,116513579,51192571,262,0.4394,55733332,276,0.4783,9587676,0,0.0823
